	psnDCG@1	psnDCG@5	psnDCG@10	psprecision@1	psprecision@5	psprecision@10	hits@1	hits@5	hits@10	hit_rate@1	hit_rate@5	hit_rate@10	precision@1	precision@5	precision@10	recall@1	recall@5	recall@10	f1@1	f1@5	f1@10	r-precision@1	r-precision@5	r-precision@10	mrr@1	mrr@5	mrr@10	map@1	map@5	map@10	ndcg@1	ndcg@5	ndcg@10	ndcg_burges@1	ndcg_burges@5	ndcg_burges@10
mean	90.83	95.91	96.14	90.83	99.34	100.0	91.06	99.36	100.0	91.06	99.36	100.0	91.06	19.88	10.0	91.06	99.36	100.0	91.06	33.11	18.2	91.06	91.06	91.06	91.06	94.85	94.95	91.06	94.85	94.95	91.06	96.01	96.22	91.06	96.01	96.22
std	0.4473	0.2234	0.1955	0.4473	0.1506	0.0	0.43	0.143	0.0	0.43	0.143	0.0	0.43	0.0422	0.0	0.43	0.143	0.0	0.43	0.0568	0.0	0.43	0.43	0.43	0.43	0.2415	0.2415	0.43	0.2415	0.2415	0.43	0.2234	0.1989	0.43	0.2234	0.1989
