	psnDCG@1	psnDCG@5	psnDCG@10	psprecision@1	psprecision@5	psprecision@10	hits@1	hits@5	hits@10	hit_rate@1	hit_rate@5	hit_rate@10	precision@1	precision@5	precision@10	recall@1	recall@5	recall@10	f1@1	f1@5	f1@10	r-precision@1	r-precision@5	r-precision@10	mrr@1	mrr@5	mrr@10	map@1	map@5	map@10	ndcg@1	ndcg@5	ndcg@10	ndcg_burges@1	ndcg_burges@5	ndcg_burges@10
mean	62.04	84.59	84.59	62.04	100.0	100.0	65.54	100.0	100.0	65.54	100.0	100.0	65.54	20.0	10.0	65.54	100.0	100.0	65.54	33.3	18.2	65.54	65.54	65.54	65.54	81.0	81.0	65.54	81.0	81.0	65.54	85.87	85.87	65.54	85.87	85.87
std	15.8961	6.7423	6.7423	15.8961	0.0	0.0	13.8653	0.0	0.0	13.8653	0.0	0.0	13.8653	0.0	0.0	13.8653	0.0	0.0	13.8653	0.0	0.0	13.8653	13.8653	13.8653	13.8653	8.0899	8.0899	13.8653	8.0899	8.0899	13.8653	6.0285	6.0285	13.8653	6.0285	6.0285
